النبي موسى,399,Jericho,11
النويعمة,400,Jericho,11
العوجا,397,Jericho,11
ديوك,396,Jericho,11
اريحا,596,Jericho,11
الجفتلك,398,Jericho,11
فصايل,152540,Jericho,11
مخيم عقبة جبر,152541,Jericho,11
مرج نعجة,152542,Jericho,11
الجش,29882,Jolan,173
عرب العرامشة,29904,Jolan,173
بيسان,21593,Jolan,173
بقعاتا,29885,Jolan,173
عين قينيا,29903,Jolan,173
فسوطة,29884,Jolan,173
الغجر,29899,Jolan,173
الجولان,1249,Jolan,173
حرفيش,29883,Jolan,173
مجدل شمس,29887,Jolan,173
مسعدة,29886,Jolan,173
كريات شمونه,29902,Jolan,173
الريحانية,29905,Jolan,173
راس الناقورة,1895,Jolan,173
روش بينا,29901,Jolan,173
صفد,1911,Jolan,173
شلومي,29906,Jolan,173
طوبا الزنغرية,563,Jolan,173
العديسة,233,Hebron,6
عجور,249,Hebron,6
العروب,1190,Hebron,6
مخيم العروب,1189,Hebron,6
السموع,904,Hebron,6
الظاهرية,228,Hebron,6
الدوايمة,222,Hebron,6
الجبلية,257,Hebron,6
الشيوخ,234,Hebron,6
الصرة,227,Hebron,6
التواني,229,Hebron,6
عناب الكبير,250,Hebron,6
بني نعيم,3653,Hebron,6
بركوسيا,219,Hebron,6
بيت الروش الفوقا,221,Hebron,6
بيت أولا,220,Hebron,6
بيت عوا,226,Hebron,6
بيت جبرين,224,Hebron,6
بيت كاحل,796,Hebron,6
بيت مرسم,231,Hebron,6
بيت امر,905,Hebron,6
بيت عمرة,225,Hebron,6
بيت نتيف,232,Hebron,6
دير العسل الفوقا,241,Hebron,6
دير الدبان,240,Hebron,6
دير نخاس,246,Hebron,6
دير رازح,242,Hebron,6
دير سامت,17990,Hebron,6
دورا,727,Hebron,6
امريش,230,Hebron,6
مخيم الفوار,8079,Hebron,6
حدب الفوار,235,Hebron,6
حلحول,236,Hebron,6
الخليل,591,Hebron,6
اذنا,906,Hebron,6
جبعة,255,Hebron,6
جالا,243,Hebron,6
كدنة,261,Hebron,6
كرمة,262,Hebron,6
خاراس,6485,Hebron,6
خرسا,245,Hebron,6
خربة عتير,244,Hebron,6
الكوم,239,Hebron,6
مفرق مصاحب,728,Hebron,6
نوبا,3347,Hebron,6
كويزبة,258,Hebron,6
رعنا,252,Hebron,6
رابود,251,Hebron,6
رافات,254,Hebron,6
الرماضين,223,Hebron,6
سعير,914,Hebron,6
سنجر,247,Hebron,6
صوريف,1381,Hebron,6
تفوح,237,Hebron,6
ترقوميا,2080,Hebron,6
تل الصافي,238,Hebron,6
طرامة,248,Hebron,6
أم برج,218,Hebron,6
وادي الشاجنة,259,Hebron,6
يطا,260,Hebron,6
زكريا,253,Hebron,6
زيف,256,Hebron,6
باب العامود,6725,Quds,1240
باب الاسباط,6727,Quds,1240
باب الجديد,6724,Quds,1240
البلدة القديمة,106015,Quds,1240
شارع صلاح الدين,6723,Quds,1240
باب الزاهرة,6726,Quds,1240
الشياح,100328,Quds,40499
عطروت,109580,Quds,40499
بيت حنينا,100325,Quds,40499
جفعات زئيف,100332,Quds,40499
القدس 1,533136,Quds,40499
جبل الزيتون,100330,Quds,40499
النبي صموئيل,100333,Quds,40499
بزجات زئيف,100331,Quds,40499
راس العامود,100329,Quds,40499
شعفاط,100326,Quds,40499
واد قدوم,100327,Quds,40499
الطور,100334,Quds,40500
شارع الزهراء,100345,Quds,40500
التلة الفرنسية,100340,Quds,40500
العيسوية,100335,Quds,40500
شارع مناطق 48,100341,Quds,40500
القدس,533118,Quds,40500
القدس 2,533133,Quds,40500
البلدة القديمة,100338,Quds,40500
شارع صلاح الدين,100344,Quds,40500
الشيخ جراح,100337,Quds,40500
واد الجوز,100336,Quds,40500
الصوانة,100357,Quds,40500
الثوري,100351,Quds,40501
ابو غنيم,100355,Quds,40501
ارنونا,100353,Quds,40501
بيت صفافا,100367,Quds,40501
عين كارم,107899,Quds,40501
جيلو,107898,Quds,40501
هار حوماه,100354,Quds,40501
جبل المكبر,100348,Quds,40501
القدس 3,534041,Quds,40501
شرفات,107896,Quds,40501
سلوان,100352,Quds,40501
صور باهر,100350,Quds,40501
تل بيوت,107897,Quds,40501
امليسون,100349,Quds,40501
ام طوبا,100356,Quds,40501
واد الحمص,100358,Quds,40501
ايلات,439303,Eilat,314850
ابو نجيم,16174,beitlahm,8
الحدايدة,342,beitlahm,8
الحجيلة,341,beitlahm,8
الجبعة,338,beitlahm,8
الخضر,348,beitlahm,8
المعصرة,368,beitlahm,8
القبو,355,beitlahm,8
العساكرة,354,beitlahm,8
عرب الرشايدة,353,beitlahm,8
ارطاس,4366,beitlahm,8
مخيم عايدة عايده,8310,beitlahm,8
مخيم العزة,15423,beitlahm,8
بتير,334,beitlahm,8
بيت ساحور,801,beitlahm,8
بيت فجار,336,beitlahm,8
بيت جالا,800,beitlahm,8
بيت تعمر,335,beitlahm,8
بيت لحم,593,beitlahm,8
دار صلاح,15422,beitlahm,8
دير ابو عبيد,15424,beitlahm,8
مخيم الدهيشة,4367,beitlahm,8
الدوحة,367,beitlahm,8
الحلقوم,343,beitlahm,8
حوسان,344,beitlahm,8
جهاثم,339,beitlahm,8
جناتا جناته جناته,8305,beitlahm,8
جبة الذيب,337,beitlahm,8
جورة الشمعة,340,beitlahm,8
كفار عصيون,357,beitlahm,8
خربة تقوع,347,beitlahm,8
خربة الدير,345,beitlahm,8
خربة النخلة,346,beitlahm,8
المنشية,369,beitlahm,8
مراح معلا,360,beitlahm,8
ومراح رباح,359,beitlahm,8
نحالين,358,beitlahm,8
نجيم,16173,beitlahm,8
العبيدية,352,beitlahm,8
رخمة,349,beitlahm,8
الشواورة,350,beitlahm,8
ظهرة الندى,351,beitlahm,8
أم سلمونة,366,beitlahm,8
واد شاهين,16279,beitlahm,8
وادي العرايس,361,beitlahm,8
وادي النيص,362,beitlahm,8
وادي فوكين,364,beitlahm,8
وادي معالي,16273,beitlahm,8
وادي رحال,363,beitlahm,8
الولجة,365,beitlahm,8
زعترة زعتره,15421,beitlahm,8
جناتا,152543,beitlahm,8
عابا,310,Jenin,7
عين المنسي,283,Jenin,7
